标题链接,ID,名称,字段1,评分,点赞,投币,收藏,分享,播放/弹幕/追番
https://www.bilibili.com/bangumi/play/ss44151?from_spmid=666.14.0.0,BV1sV4y1U79m,因为太怕痛就全点防御力了 第二季,"小说改 / 战斗 / 搞笑 / 奇幻,·,2023,·,已完结, 全12话,·",9.3分,5.2万,2.4万,4157,2775,1.3亿播放  ·  37.8万弹幕  ·  754万系列追番
https://www.bilibili.com/bangumi/play/ss1699?from_spmid=666.14.0.0,BV1jx411P79q,四月是你的谎言,"漫画改 / 催泪 / 恋爱 / 少女,·,2014,·,已完结, 全22话,·",9.8分,34.7万,27.9万,11.6万,11.2万,2.3亿播放  ·  509.6万弹幕  ·  715.9万系列追番
https://www.bilibili.com/bangumi/play/ss2576?from_spmid=666.14.0.0,BV1Ks411S7co,OVERLORD,"奇幻 / 战斗 / 小说改 / 架空,·,2015,·,已完结, 全13话,·",9.6分,33.3万,18.9万,6.3万,12.7万,4.8亿播放  ·  367.8万弹幕  ·  1056.4万系列追番
https://www.bilibili.com/bangumi/play/ss29358?from_spmid=666.14.0.0,BV1TJ411G7y5,因为太怕痛就全点防御力了,"架空 / 小说改 / 穿越 / 奇幻,·,2020,·,已完结, 全12话,·",9.0分,34.2万,16.5万,6.3万,3.4万,3亿播放  ·  345.1万弹幕  ·  754万系列追番
https://www.bilibili.com/bangumi/play/ss29590?from_spmid=666.14.0.0,BV1SJ411b7Wa,Re：从零开始的异世界生活 新编集版,"架空 / 小说改 / 穿越 / 奇幻,·,2020,·,已完结, 全13话,·",9.6分,16.4万,12万,3.6万,2.5万,1.1亿播放  ·  197.6万弹幕  ·  1019.4万系列追番
https://www.bilibili.com/bangumi/play/ss29325?from_spmid=666.14.0.0,BV1BJ411H7dF,某科学的超电磁炮T,"漫画改 / 战斗 / 科幻 / 校园,·,2020,·,已完结, 全25话,·",9.8分,24万,53.5万,3.1万,5565,2.6亿播放  ·  287.3万弹幕  ·  897.6万系列追番
https://www.bilibili.com/bangumi/play/ss4340?from_spmid=666.14.0.0,BV1cp4y1Q7Sq,中二病也要谈恋爱！,"校园 / 恋爱 / 搞笑 / 小说改,·,2012,·,已完结, 全13话,·",9.8分,47.1万,20.7万,13.8万,3万,1.5亿播放  ·  128.3万弹幕  ·  781.1万系列追番
https://www.bilibili.com/bangumi/play/ss425?from_spmid=666.14.0.0,BV14b4y1b7iD,某科学的超电磁炮,"校园 / 战斗 / 奇幻 / 漫画改,·,2009,·,已完结, 全24话,·",9.7分,3万,1.4万,2148,184,2.3亿播放  ·  1342.7万弹幕  ·  897.6万系列追番
https://www.bilibili.com/bangumi/play/ss4334?from_spmid=666.14.0.0,BV1MJ411S7LK,JOJO的奇妙冒险,"漫画改 / 战斗 / 奇幻 / 冒险,·,2012,·,已完结, 全26话,·",9.8分,55.5万,41.6万,5.5万,11.8万,3.2亿播放  ·  575.1万弹幕  ·  1024.2万系列追番
https://www.bilibili.com/bangumi/play/ss102130?from_spmid=666.14.0.0,BV1ugNezGEEk,盾之勇者成名录 第四季,"小说改 / 战斗 / 穿越,·,2025,·,07月09日20:00开播,·",,3801,289,302,605,14.2万播放  ·  130弹幕  ·  636万系列追番
https://www.bilibili.com/bangumi/play/ss2572?from_spmid=666.14.0.0,BV1ws41127Ah,Charlotte,"日常 / 校园 / 奇幻 / 催泪,·,2015,·,已完结, 全13话,·",9.5分,27.6万,40.6万,5.3万,11.1万,2.1亿播放  ·  276.4万弹幕  ·  638.8万系列追番
